region;route;county
NJ;US9;Atlantic
NJ;US30;Atlantic
NJ;US40;Atlantic
NJ;US206;Atlantic
NJ;US322;Atlantic
NJ;NJ49;Atlantic
NJ;NJ50;Atlantic
NJ;NJ52;Atlantic
NJ;NJ54;Atlantic
NJ;NJ73;Atlantic
NJ;NJ87;Atlantic
NJ;NJ152;Atlantic
NJ;NJ157;Atlantic
NJ;NJ167;Atlantic
NJ;NJ187;Atlantic
NJ;I-80;Bergen
NJ;I-95;Bergen
NJ;I-287;Bergen
NJ;US1;Bergen
NJ;US9;Bergen
NJ;US46;Bergen
NJ;US202;Bergen
NJ;NJ3;Bergen
NJ;NJ4;Bergen
NJ;NJ5;Bergen
NJ;NJ7;Bergen
NJ;NJ17;Bergen
NJ;NJ63;Bergen
NJ;NJ67;Bergen
NJ;NJ93;Bergen
NJ;NJ120;Bergen
NJ;NJ208;Bergen
NJ;I-95;Burlington
NJ;I-295;Burlington
NJ;US9;Burlington
NJ;US130;Burlington
NJ;US206;Burlington
NJ;NJ38;Burlington
NJ;NJ41;Burlington
NJ;NJ68;Burlington
NJ;NJ70;Burlington
NJ;NJ72;Burlington
NJ;NJ73;Burlington
NJ;NJ90;Burlington
NJ;NJ413;Burlington
NJ;I-76;Camden
NJ;I-295;Camden
NJ;I-676;Camden
NJ;US30;Camden
NJ;US130;Camden
NJ;NJ38;Camden
NJ;NJ41;Camden
NJ;NJ42;Camden
NJ;NJ47;Camden
NJ;NJ70;Camden
NJ;NJ73;Camden
NJ;NJ90;Camden
NJ;NJ143;Camden
NJ;NJ154;Camden
NJ;NJ168;Camden
NJ;US9;Cape May
NJ;NJ47;Cape May
NJ;NJ49;Cape May
NJ;NJ50;Cape May
NJ;NJ52;Cape May
NJ;NJ83;Cape May
NJ;NJ109;Cape May
NJ;NJ147;Cape May
NJ;NJ347;Cape May
NJ;NJ47;Cumberland
NJ;NJ49;Cumberland
NJ;NJ55;Cumberland
NJ;NJ56;Cumberland
NJ;NJ77;Cumberland
NJ;NJ347;Cumberland
NJ;I-78;Essex
NJ;I-80;Essex
NJ;I-95;Essex
NJ;I-280;Essex
NJ;US1;Essex
NJ;US9;Essex
NJ;US22;Essex
NJ;US46;Essex
NJ;NJ1T;Essex
NJ;NJ7;Essex
NJ;NJ10;Essex
NJ;NJ21;Essex
NJ;NJ23;Essex
NJ;NJ24;Essex
NJ;NJ27;Essex
NJ;NJ124;Essex
NJ;NJ159;Essex
NJ;I-295;Gloucester
NJ;US40;Gloucester
NJ;US130;Gloucester
NJ;US322;Gloucester
NJ;NJ41;Gloucester
NJ;NJ42;Gloucester
NJ;NJ44;Gloucester
NJ;NJ45;Gloucester
NJ;NJ47;Gloucester
NJ;NJ55;Gloucester
NJ;NJ77;Gloucester
NJ;NJ168;Gloucester
NJ;I-78;Hudson
NJ;I-95;Hudson
NJ;I-280;Hudson
NJ;US1;Hudson
NJ;US9;Hudson
NJ;NJ1T;Hudson
NJ;NJ3;Hudson
NJ;NJ7;Hudson
NJ;NJ63;Hudson
NJ;NJ139;Hudson
NJ;NJ185;Hudson
NJ;NJ440;Hudson
NJ;NJ495;Hudson
NJ;I-78;Hunterdon
NJ;US22;Hunterdon
NJ;US202;Hunterdon
NJ;NJ12;Hunterdon
NJ;NJ29;Hunterdon
NJ;NJ31;Hunterdon
NJ;NJ173;Hunterdon
NJ;NJ179;Hunterdon
NJ;I-95;Mercer
NJ;I-195;Mercer
NJ;I-295;Mercer
NJ;US1;Mercer
NJ;US130;Mercer
NJ;US206;Mercer
NJ;NJ1B;Mercer
NJ;NJ27;Mercer
NJ;NJ29;Mercer
NJ;NJ31;Mercer
NJ;NJ33;Mercer
NJ;NJ64;Mercer
NJ;NJ129;Mercer
NJ;NJ133;Mercer
NJ;NJ156;Mercer
NJ;NJ175;Mercer
NJ;I-95;Middlesex
NJ;I-287;Middlesex
NJ;US1;Middlesex
NJ;US9;Middlesex
NJ;US130;Middlesex
NJ;NJ18;Middlesex
NJ;NJ26;Middlesex
NJ;NJ27;Middlesex
NJ;NJ28;Middlesex
NJ;NJ32;Middlesex
NJ;NJ33;Middlesex
NJ;NJ34;Middlesex
NJ;NJ35;Middlesex
NJ;NJ91;Middlesex
NJ;NJ171;Middlesex
NJ;NJ172;Middlesex
NJ;NJ184;Middlesex
NJ;NJ440;Middlesex
NJ;I-195;Monmouth
NJ;US9;Monmouth
NJ;NJ18;Monmouth
NJ;NJ33;Monmouth
NJ;NJ34;Monmouth
NJ;NJ35;Monmouth
NJ;NJ36;Monmouth
NJ;NJ66;Monmouth
NJ;NJ70;Monmouth
NJ;NJ71;Monmouth
NJ;NJ79;Monmouth
NJ;NJ138;Monmouth
NJ;I-80;Morris
NJ;I-280;Morris
NJ;US46;Morris
NJ;US202;Morris
NJ;US206;Morris
NJ;NJ10;Morris
NJ;NJ14;Morris
NJ;NJ15;Morris
NJ;NJ23;Morris
NJ;NJ24;Morris
NJ;NJ53;Morris
NJ;NJ124;Morris
NJ;NJ159;Morris
NJ;NJ183;Morris
NJ;I-195;Ocean
NJ;US9;Ocean
NJ;NJ13;Ocean
NJ;NJ35;Ocean
NJ;NJ37;Ocean
NJ;NJ70;Ocean
NJ;NJ72;Ocean
NJ;NJ88;Ocean
NJ;NJ166;Ocean
NJ;I-80;Passaic
NJ;I-287;Passaic
NJ;US46;Passaic
NJ;US202;Passaic
NJ;NJ3;Passaic
NJ;NJ4;Passaic
NJ;NJ7;Passaic
NJ;NJ14;Passaic
NJ;NJ19;Passaic
NJ;NJ20;Passaic
NJ;NJ21;Passaic
NJ;NJ23;Passaic
NJ;NJ62;Passaic
NJ;NJ161;Passaic
NJ;NJ208;Passaic
NJ;I-295;Salem
NJ;US40;Salem
NJ;US130;Salem
NJ;NJ45;Salem
NJ;NJ48;Salem
NJ;NJ49;Salem
NJ;NJ56;Salem
NJ;NJ77;Salem
NJ;NJ140;Salem
NJ;I-78;Somerset
NJ;I-287;Somerset
NJ;US22;Somerset
NJ;US202;Somerset
NJ;US206;Somerset
NJ;NJ27;Somerset
NJ;NJ28;Somerset
NJ;I-80;Sussex
NJ;US206;Sussex
NJ;NJ15;Sussex
NJ;NJ23;Sussex
NJ;NJ94;Sussex
NJ;NJ181;Sussex
NJ;NJ183;Sussex
NJ;NJ284;Sussex
NJ;I-78;Union
NJ;I-278;Union
NJ;US1;Union
NJ;US9;Union
NJ;US22;Union
NJ;NJ24;Union
NJ;NJ27;Union
NJ;NJ28;Union
NJ;NJ35;Union
NJ;NJ59;Union
NJ;NJ81;Union
NJ;NJ82;Union
NJ;NJ124;Union
NJ;NJ439;Union
NJ;I-78;Warren
NJ;I-80;Warren
NJ;US22;Warren
NJ;US46;Warren
NJ;NJ31;Warren
NJ;NJ57;Warren
NJ;NJ94;Warren
NJ;NJ122;Warren
NJ;NJ163;Warren
NJ;NJ173;Warren
NJ;NJ182;Warren
